,Variable Name,Description,Type,Code=Value,Source File
792,osmdb1,"MID SLICE: SEGMENT B (SUPERIOR SEPTUM), END-SYSTOLE (mm)",NUMERIC,,Exam1
793,osmdc1,"MID SLICE: SEGMENT C (ANTERIOR WALL), END-SYSTOLE (mm)",NUMERIC,,Exam1
794,osmdd1,"MID SLICE: SEGMENT D (SUPERIOR LATERAL WALL), END-SYSTOLE (mm)",NUMERIC,,Exam1
795,osmde1,"MID SLICE: SEGMENT E (INFERIOR LATERAL WALL), END-SYSTOLE (mm)",NUMERIC,,Exam1
796,osmdf1,"MID SLICE: SEGMENT F (INFERIOR WALL), END-SYSTOLE (mm)",NUMERIC,,Exam1
797,osbsa1,"BASAL SLICE: SEGMENT A (INFERIOR SEPTUM), END-SYSTOLE (mm)",NUMERIC,,Exam1
798,osbsb1,"BASAL SLICE: SEGMENT B (SUPERIOR SEPTUM), END-SYSTOLE (mm)",NUMERIC,,Exam1
799,osbsc1,"BASAL SLICE: SEGMENT C (ANTERIOR WALL), END-SYSTOLE (mm)",NUMERIC,,Exam1
800,osbsd1,"BASAL SLICE: SEGMENT D (SUPERIOR LATERAL WALL), END-SYSTOLE (mm)",NUMERIC,,Exam1
801,osbse1,"BASAL SLICE: SEGMENT E (INFERIOR LATERAL WALL), END-SYSTOLE (mm)",NUMERIC,,Exam1
802,osbsf1,"BASAL SLICE: SEGMENT F (INFERIOR WALL), END-SYSTOLE (mm)",NUMERIC,,Exam1
803,omassv1,VERSION OF MASS USED,STRING,,Exam1
804,r1wm1,"WALL MOTION, REGION 1",NUMERIC,0=UNINTERPRETABLE; 1=NORMAL; 2=HYPOKINESIS; 3=AKINESIS; 4=KYSKINESIS; 5=ANEURYSM,Exam1
805,r2wm1,"WALL MOTION, REGION 2",NUMERIC,0=UNINTERPRETABLE; 1=NORMAL; 2=HYPOKINESIS; 3=AKINESIS; 4=KYSKINESIS; 5=ANEURYSM,Exam1
806,r3wm1,"WALL MOTION, REGION 3",NUMERIC,0=UNINTERPRETABLE; 1=NORMAL; 2=HYPOKINESIS; 3=AKINESIS; 4=KYSKINESIS; 5=ANEURYSM,Exam1
807,r4wm1,"WALL MOTION, REGION 4",NUMERIC,0=UNINTERPRETABLE; 1=NORMAL; 2=HYPOKINESIS; 3=AKINESIS; 4=KYSKINESIS; 5=ANEURYSM,Exam1
808,r5wm1,"WALL MOTION, REGION 5",NUMERIC,0=UNINTERPRETABLE; 1=NORMAL; 2=HYPOKINESIS; 3=AKINESIS; 4=KYSKINESIS; 5=ANEURYSM,Exam1
809,r6wm1,"WALL MOTION, REGION 6",NUMERIC,0=UNINTERPRETABLE; 1=NORMAL; 2=HYPOKINESIS; 3=AKINESIS; 4=KYSKINESIS; 5=ANEURYSM,Exam1
810,r7wm1,"WALL MOTION, REGION 7",NUMERIC,0=UNINTERPRETABLE; 1=NORMAL; 2=HYPOKINESIS; 3=AKINESIS; 4=KYSKINESIS; 5=ANEURYSM,Exam1
811,r8wm1,"WALL MOTION, REGION 8",NUMERIC,0=UNINTERPRETABLE; 1=NORMAL; 2=HYPOKINESIS; 3=AKINESIS; 4=KYSKINESIS; 5=ANEURYSM,Exam1
812,r9wm1,"WALL MOTION, REGION 9",NUMERIC,0=UNINTERPRETABLE; 1=NORMAL; 2=HYPOKINESIS; 3=AKINESIS; 4=KYSKINESIS; 5=ANEURYSM,Exam1
813,r10wm1,"WALL MOTION, REGION 10",NUMERIC,0=UNINTERPRETABLE; 1=NORMAL; 2=HYPOKINESIS; 3=AKINESIS; 4=KYSKINESIS; 5=ANEURYSM,Exam1
814,r11wm1,"WALL MOTION, REGION 11",NUMERIC,0=UNINTERPRETABLE; 1=NORMAL; 2=HYPOKINESIS; 3=AKINESIS; 4=KYSKINESIS; 5=ANEURYSM,Exam1
815,r12wm1,"WALL MOTION, REGION 12",NUMERIC,0=UNINTERPRETABLE; 1=NORMAL; 2=HYPOKINESIS; 3=AKINESIS; 4=KYSKINESIS; 5=ANEURYSM,Exam1
816,r13wm1,"WALL MOTION, REGION 13",NUMERIC,0=UNINTERPRETABLE; 1=NORMAL; 2=HYPOKINESIS; 3=AKINESIS; 4=KYSKINESIS; 5=ANEURYSM,Exam1
817,r14wm1,"WALL MOTION, REGION 14",NUMERIC,0=UNINTERPRETABLE; 1=NORMAL; 2=HYPOKINESIS; 3=AKINESIS; 4=KYSKINESIS; 5=ANEURYSM,Exam1
818,r15wm1,"WALL MOTION, REGION 15",NUMERIC,0=UNINTERPRETABLE; 1=NORMAL; 2=HYPOKINESIS; 3=AKINESIS; 4=KYSKINESIS; 5=ANEURYSM,Exam1
819,r16wm1,"WALL MOTION, REGION 16",NUMERIC,0=UNINTERPRETABLE; 1=NORMAL; 2=HYPOKINESIS; 3=AKINESIS; 4=KYSKINESIS; 5=ANEURYSM,Exam1
820,pheval1,WAS THE THE STUDY EVALUABLE?,NUMERIC,0=NO; 1=YES,Exam1
821,globscr1,GLOBAL SCORE,NUMERIC,0=NORMAL; 1=MINIMAL DYSFUNCTION; 2=MODERATE DYSFUNCTION; 3=SEVERE DYSFUNCTION,Exam1
822,lvh1,LVH ALERT,NUMERIC,0=NO REFERRAL; 2=ABNORMAL REFERRAL; 3=URGENT REFERRAL,Exam1
823,aneursm1,ANEURYSM ALERT,NUMERIC,0=NO REFERRAL; 2=ABNORMAL REFERRAL; 3=URGENT REFERRAL,Exam1
824,perieff1,PERICARD EFFUSION ALERT,NUMERIC,0=NO REFERRAL; 2=ABNORMAL REFERRAL; 3=URGENT REFERRAL,Exam1
825,massnd1,MEDIASTINAL MASS NODE ALERT,NUMERIC,0=NO REFERRAL; 2=ABNORMAL REFERRAL; 3=URGENT REFERRAL,Exam1
826,lungmss1,LUNG MASS ALERT,NUMERIC,0=NO REFERRAL; 2=ABNORMAL REFERRAL; 3=URGENT REFERRAL,Exam1
827,bnsftts1,BONE SOFT TISSUE ALERT,NUMERIC,0=NO REFERRAL; 2=ABNORMAL REFERRAL; 3=URGENT REFERRAL,Exam1
828,othalrt1,OTHER ALERT,NUMERIC,0=NO REFERRAL; 2=ABNORMAL REFERRAL; 3=URGENT REFERRAL,Exam1
829,datrcvd1,RC RECEIVED THE STUDY?,NUMERIC,0=NO; 1=YES,Exam1
830,refstat1,OVERALL MRI ALERT STATUS,STRING,,Exam1
831,oavflw1,FLOW PARAMETER: AVERAGE FLOW VELOCITY (cm/sec),NUMERIC,,Exam1
832,osv1,FLOW PARAMETER: STROKE VOLUME,NUMERIC,,Exam1
833,ovpm1,FLOW PARAMETER: VOLUME PER MINUTE,NUMERIC,,Exam1
834,rchrtrt1,HEART RATE (BPM),NUMERIC,,Exam1
835,lvedd1c,"LV END-DIASTOLIC DIAMETER (mm), computed (Devereux, Am J Cardiol 1986)",NUMERIC,,Exam1
836,nviolen1,VIOLENCE PROBLEM IN NEIGHBORHOOD,NUMERIC,1=VERY SERIOUS PROBLEM; 2=SOMEWHAT SERIOUS PROBLEM; 3=MINOR PROBLEM; 4=NOT REALLY A PROBLEM,Exam1
837,nsdwlk1,POOR SIDEWALKS IN NEIGHBORHOOD,NUMERIC,1=VERY SERIOUS PROBLEM; 2=SOMEWHAT SERIOUS PROBLEM; 3=MINOR PROBLEM; 4=NOT REALLY A PROBLEM,Exam1
838,ntrash1,TRASH AND LITTER PROBLEM IN NEIGHBORHOOD,NUMERIC,1=VERY SERIOUS PROBLEM; 2=SOMEWHAT SERIOUS PROBLEM; 3=MINOR PROBLEM; 4=NOT REALLY A PROBLEM,Exam1
839,nlparks1,LACK OF PARKS/PLAYGROUNDS IN NEIGHBORHOOD,NUMERIC,1=VERY SERIOUS PROBLEM; 2=SOMEWHAT SERIOUS PROBLEM; 3=MINOR PROBLEM; 4=NOT REALLY A PROBLEM,Exam1
840,nlfshop1,LACK OF ADEQUATE FOOD SHOPPING IN NEIGHBORHOOD,NUMERIC,1=VERY SERIOUS PROBLEM; 2=SOMEWHAT SERIOUS PROBLEM; 3=MINOR PROBLEM; 4=NOT REALLY A PROBLEM,Exam1
841,ntraf1,HEAVY TRAFFIC OR SPEEDING CARS IN NEIGHBORHOOD,NUMERIC,1=VERY SERIOUS PROBLEM; 2=SOMEWHAT SERIOUS PROBLEM; 3=MINOR PROBLEM; 4=NOT REALLY A PROBLEM,Exam1
842,nnoise1,EXCESSIVE NOISE IN NEIGHBORHOOD,NUMERIC,1=VERY SERIOUS PROBLEM; 2=SOMEWHAT SERIOUS PROBLEM; 3=MINOR PROBLEM; 4=NOT REALLY A PROBLEM,Exam1
843,nsafe1,HOW SAFE IS NEIGHBORHOOD FROM CRIME,NUMERIC,1=VERY SAFE; 2=BETWEEN VERY SAFE AND SAFE; 3=SAFE; 4=BETWEEN SAFE AND NOT AT ALL SAFE; 5=NOT AT ALL SAFE,Exam1
844,nvalues1,PEOPLE IN NEIGHBORHOOD DO NOT SHARE THE SAME VALUES,NUMERIC,1=STRONGLY AGREE; 2=AGREE; 3=NEITHER AGREE NOR DISAGREE; 4=DISAGREE; 5=STRONGLY DISAGREE,Exam1
845,ntrust1,PEOPLE IN NEIGHBORHOOD CAN BE TRUSTED,NUMERIC,1=STRONGLY AGREE; 2=AGREE; 3=NEITHER AGREE NOR DISAGREE; 4=DISAGREE; 5=STRONGLY DISAGREE,Exam1
846,ndgalng1,PEOPLE IN NEIGHBORHOOD DON'T GET ALONG,NUMERIC,1=STRONGLY AGREE; 2=AGREE; 3=NEITHER AGREE NOR DISAGREE; 4=DISAGREE; 5=STRONGLY DISAGREE,Exam1
847,nhelp1,PEOPLE WILLING TO HELP THEIR NEIGHBORS,NUMERIC,1=STRONGLY AGREE; 2=AGREE; 3=NEITHER AGREE NOR DISAGREE; 4=DISAGREE; 5=STRONGLY DISAGREE,Exam1
848,nclose1,CLOSE-KNIT NEIGHBORHOOD,NUMERIC,1=STRONGLY AGREE; 2=AGREE; 3=NEITHER AGREE NOR DISAGREE; 4=DISAGREE; 5=STRONGLY DISAGREE,Exam1
849,nhdmo1,NUMBER OF MONTHS LIVED IN NEIGHBORHOOD,NUMERIC,,Exam1
850,nhdyrs1,NUMBER OF YEARS LIVED IN NEIGHBORHOOD,NUMERIC,,Exam1
851,nhdblks1,NUMBER OF BLOCKS IN NEIGHBORHOOD,NUMERIC,,Exam1
852,ncohes1c,NEIGHBORHOOD SOCIAL COHESION SCORE,NUMERIC,,Exam1
853,nprob1c,NEIGHBORHOOD PROBLEMS SCORE,NUMERIC,,Exam1
854,nhdtim1c,HOW LONG LIVED IN NEIGHBORHOOD (YRS),NUMERIC,,Exam1
855,nhdadm1,QUESTIONNAIRE ADMINISTRATOR - NEIGHBORHOOD,NUMERIC,1=SELF-ADMIN; 2=INTERVIEWER-ADMIN,Exam1
856,yrsus1,# YEARS LIVED IN U.S.A,NUMERIC,,Exam1
857,RgnBth1c,REGION OF BIRTH IN US - SELF,NUMERIC,1=WEST; 2=MIDWEST; 3=SOUTH; 4=NORTHEAST,Exam1
858,hctryo1c,COUNTRY OR REGION OF HISPANIC ORIGIN,STRING,,Exam1
859,cig1c,CIGARETTE SMOKING STATUS,NUMERIC,0=NEVER; 1=FORMER; 2=CURRENT,Exam1
860,langhm1,LANGUAGE SPOKEN IN HOME,NUMERIC,1=ENGLISH; 2=SPANISH; 3=CANTONESE; 4=MANDARIN; 5=OTHER,Exam1
861,lngeng1,ENGLISH SPOKEN IN HOME,NUMERIC,0=NO; 1=YES,Exam1
862,lngsp1,SPANISH SPOKEN IN HOME,NUMERIC,0=NO; 1=YES,Exam1
863,lngcan1,CANTONESE SPOKEN IN HOME,NUMERIC,0=NO; 1=YES,Exam1
864,lngman1,MANDARIN SPOKEN IN HOME,NUMERIC,0=NO; 1=YES,Exam1
865,lngoth1,OTHER LANGUAGE SPOKEN IN HOME,NUMERIC,0=NO; 1=YES,Exam1
866,otlngtx1,SPECIFY OTHER LANGUAGE SPOKEN IN HOME,STRING,,Exam1
867,marital1,MARITAL STATUS,NUMERIC,1=MARRIED/LIVING AS MARRIED; 2=WIDOWED; 3=DIVORCED; 4=SEPARATED; 5=NEVER MARRIED; 6=PREFER NOT TO ANSWER,Exam1
868,educ1,EDUCATION: HIGHEST LEVEL COMPLETED,NUMERIC,0=NO SCHOOLING; 1=GRADES 1-8; 2=GRADES 9-11; 3=COMPLETED HIGH SCHOOL/GED; 4=SOME COLLEGE BUT NO DEGREE; 5=TECHNICAL SCHOOL CERTIFICATE; 6=ASSOCIATE DEGREE; 7=BACHELOR'S DEGREE; 8=GRADUATE OR PROFESSIONAL SCHOOL,Exam1
869,othssn1,GET MEDICARE BENEFITS USING SSN OTHER THAN OWN,NUMERIC,0=NO; 1=YES,Exam1
870,curjob1,CURRENT OCCUPATION,NUMERIC,1=HOMEMAKER; 2=EMPLOYED FULL TIME; 3=EMPLOYED PART TIME; 4=EMPLOYED ON-LEAVE (HEALTH); 5=EMPLOYED ON-LEAVE (NON-HEALTH); 6=UNEMPLOYED < 6 MONTHS; 7=UNEMPLOYED > 6 MONTHS; 8=RETIRED NOT WORKING; 9=RETIRED WORKING; 10=RETIRED VOLUNTEERING,Exam1
871,homemkr1,CURRENT HOMEMAKER: PREVIOUSLY WORK OUTSIDE THE HOME,NUMERIC,0=NO; 1=YES,Exam1
872,income1,"TOTAL GROSS FAMILY INCOME, PAST 12 MONTHS",NUMERIC,"1=< $5,000; 2=$5,000 - 7,999; 3=$8,000 - 11,999; 4=$12,000 - 15,999; 5=$16,000 - 19,999; 6=$20,000 - 24,999; 7=$25,000 - 29,999; 8=$30,000 - 34,999; 9=$35,000 - 39,999; 10=$40,000 - 49,999; 11=$50,000 - 74,999; 12=$75,000 - 99,999; 13=$100,000 +",Exam1
873,nhhldc1,# CHILDREN SUPPORTED BY FAMILY INCOME,NUMERIC,,Exam1
874,numhhld1,# PEOPLE SUPPORTED BY FAMILY INCOME,NUMERIC,,Exam1
875,nhhlde1,# ADULTS AGE > 65 SUPPORTED BY FAMILY INCOME,NUMERIC,,Exam1
876,hometyp1,RESIDENCE - OWN OR RENT,NUMERIC,1=RENT; 2=PAY A MORTGAGE; 3=OWN FREE AND CLEAR; 4=OTHER,Exam1
877,medcare1,WHERE DO YOU GO FOR MEDICAL CARE,NUMERIC,1=DOCTOR'S OFFICE/CLINIC; 2=HOSPITAL OR EMERGENCY ROOM; 3=OTHER,Exam1
878,hiprv1,"HMO, PRIVATE INSURANCE",NUMERIC,0=NO; 1=YES,Exam1
879,himdcr1,MEDICARE,NUMERIC,0=NO; 1=YES,Exam1
880,himdcd1,MEDICAID,NUMERIC,0=NO; 1=YES,Exam1
881,himil1,MILITARY OR VA SPONSORED MEDICAL CARE,NUMERIC,0=NO; 1=YES,Exam1
882,hinone1,NO HEALTH INSURANCE,NUMERIC,0=NO; 1=YES,Exam1
883,hioth1,OTHER TYPE OF HEALTH INSURANCE,NUMERIC,0=NO; 1=YES,Exam1
884,evsmk1,SMOKED AT LEAST 100 CIGARETTES IN LIFETIME,NUMERIC,0=NO; 1=YES,Exam1
885,agesmk1,CIGARETTES: AGE STARTED SMOKING,NUMERIC,,Exam1
886,cursmk1,CIGARETTES: SMOKED IN LAST 30 DAYS,NUMERIC,0=NO; 1=YES,Exam1
887,agequit1,CIGARETTES: AGE QUIT SMOKING,NUMERIC,,Exam1
888,cigsday1,CIGARETTES: AVERAGE # SMOKED PER DAY,NUMERIC,,Exam1
889,othtob1,EVER USED OTHER TOBACCO PRODUCTS,NUMERIC,0=NO; 1=YES,Exam1
890,cigar1,SMOKED MORE THAN 20 CIGARS IN LIFETIME,NUMERIC,0=NO; 1=YES,Exam1
891,cgrage1,CIGARS: AGE STARTED SMOKING,NUMERIC,,Exam1
892,cgrcur1,CIGARS: SMOKED IN LAST 30 DAYS,NUMERIC,0=NO; 1=YES,Exam1
893,cgrageq1,CIGARS: AGE QUIT SMOKING,NUMERIC,,Exam1
894,cgrday1,CIGARS: AVERAGE # SMOKED PER DAY,NUMERIC,,Exam1
895,pipe1,SMOKED AT LEAST 20 PIPEFULS OF TOBACCO IN LIFETIME,NUMERIC,0=NO; 1=YES,Exam1
896,pipage1,PIPE: AGE STARTED SMOKING,NUMERIC,,Exam1
897,pipcur1,PIPE: SMOKED IN LAST 30 DAYS,NUMERIC,0=NO; 1=YES,Exam1
898,pipageq1,PIPE: AGE QUIT SMOKING,NUMERIC,,Exam1
899,pipday1,PIPE: AVERAGE # SMOKED PER DAY,NUMERIC,,Exam1
900,chew1,CHEWED TOBACCO AT LEAST 20 TIMES IN LIFETIME,NUMERIC,0=NO; 1=YES,Exam1
901,chwage1,CHEWING TOBACCO: AGE STARTED USE,NUMERIC,,Exam1
902,chwcur1,CHEWING TOBACCO: USED IN LAST 30 DAYS,NUMERIC,0=NO; 1=YES,Exam1
903,chwageq1,CHEWING TOBACCO: AGE QUIT USE,NUMERIC,,Exam1
904,chwday1,CHEWING TOBACCO: AVERAGE # USES PER DAY,NUMERIC,,Exam1
905,snuff1,USED SNUFF AT LEAST 20 TIMES IN LIFETIME,NUMERIC,0=NO; 1=YES,Exam1
906,snfage1,SNUFF: AGE STARTED USE,NUMERIC,,Exam1
907,snfcur1,SNUFF: USED IN LAST 30 DAYS,NUMERIC,0=NO; 1=YES,Exam1
908,snfageq1,SNUFF: AGE QUIT USE,NUMERIC,,Exam1
909,snfday1,SNUFF: AVERAGE # USES PER DAY,NUMERIC,,Exam1
910,shndsmk1,"EXPOSURE TO SECOND-HAND SMOKE, HOURS PER WEEK",NUMERIC,,Exam1
911,alcohol1,EVER CONSUMED ALCOHOLIC BEVERAGES,NUMERIC,0=NO; 1=YES,Exam1
912,alcage1,ALCOHOL: AGE STARTED DRINKING,NUMERIC,,Exam1
913,curalc1,ALCOHOL: CURRENT USE,NUMERIC,0=NO; 1=YES,Exam1
914,yrsalcp1,# YEARS DRINKING ALCOHOL (FORMER DRINKERS),NUMERIC,,Exam1
915,wine1,DRANK WINE (FORMER DRINKERS),NUMERIC,0=NO; 1=YES,Exam1
916,beer1,DRANK BEER (FORMER DRINKERS),NUMERIC,0=NO; 1=YES,Exam1
917,hardliq1,HARD LIQUOR (FORMER DRINKERS),NUMERIC,0=NO; 1=YES,Exam1
918,othalc1,OTHER ALCOHOL (FORMER DRINKERS),NUMERIC,0=NO; 1=YES,Exam1
919,alcwkp1,# DRINKS PER WEEK WHEN DRINKING (FORMER DRINKERS),NUMERIC,,Exam1
920,yrsalcc1,# YEARS DRINKING ALCOHOL (CURRENT DRINKERS),NUMERIC,,Exam1
921,yrsalc1c,# YEARS DRINKING ALCOHOL (CURRENT AND FORMER DRINKERS),NUMERIC,,Exam1
922,alcwkc1,# DRINKS PER WEEK (CURRENT DRINKERS),NUMERIC,,Exam1
923,alcwk1c,# DRINKS PER WEEK (CURRENT AND FORMER DRINKERS),NUMERIC,,Exam1
924,alc24hr1,DRINKS IN PAST 24 HOURS (CURRENT DRINKERS),NUMERIC,,Exam1
925,phxloch1,FORM COMPLETED AT HOME,NUMERIC,0=NO; 1=YES,Exam1
926,phxlocc1,FORM COMPLETED AT CLINIC,NUMERIC,0=NO; 1=YES,Exam1
927,phxadm1,QUESTIONNAIRE ADMINISTRATOR - PERSONAL HISTORY,NUMERIC,1=SELF-ADMIN; 2=INTERVIEWER-ADMIN,Exam1
928,highalc1,"LARGEST # OF DRINKS IN ONE DAY, IN PAST MONTH (CURRENT DRINKERS)",NUMERIC,,Exam1
929,cgr1c,CIGAR SMOKING STATUS,NUMERIC,0=NEVER; 1=FORMER; 2=CURRENT,Exam1
930,cgryrs1c,CIGAR SMOKING AMOUNT (CIGARS PER DAY * YEARS),NUMERIC,,Exam1
931,pip1c,PIPE SMOKING STATUS,NUMERIC,0=NEVER; 1=FORMER; 2=CURRENT,Exam1
932,pipyrs1c,PIPE SMOKING AMOUNT (PIPEFULS PER DAY * YEARS),NUMERIC,,Exam1
933,chew1c,CHEWING TOBACCO USE,NUMERIC,0=NEVER; 1=FORMER; 2=CURRENT,Exam1
934,chwyrs1c,CHEWING TOBACCO AMOUNT (# TIMES CHEWED PER DAY * YEARS),NUMERIC,,Exam1
935,snf1c,SNUFF USE,NUMERIC,0=NEVER; 1=FORMER; 2=CURRENT,Exam1
936,snfyrs1c,SNUFF USE AMOUNT (# TIMES USE PER DAY * YEARS),NUMERIC,,Exam1
937,alc1c,ALCOHOL USE,NUMERIC,0=NEVER; 1=FORMER; 2=CURRENT,Exam1
938,pactadm1,PA QUESTIONNAIRE: MODE OF ADMINISTRATION,NUMERIC,-9=MISSING; 1=SELF-ADMINISTERED; 2=INTERVIEWER-ADMINISTERED,Exam1
939,q01hlcn1,1: LIGHT HOUSEHOLD CHORES min/wk M-Su,NUMERIC,,Exam1
940,q01hlcm1,1: LIGHT HOUSEHOLD CHORES MET-min/wk M-Su,NUMERIC,,Exam1
941,q02hmcn1,2: MODERATE HOUSEHOLD CHORES min/wk M-Su,NUMERIC,,Exam1
942,q02hmcm1,2: MODERATE HOUSEHOLD CHORES MET-min/wk M-Su,NUMERIC,,Exam1
943,hsemn1c,TOTAL HOUSEHOLD CHORES min/wk M-Su,NUMERIC,,Exam1
944,hsemt1c,TOTAL HOUSEHOLD CHORES MET-min/wk M-Su,NUMERIC,,Exam1
945,q03ymcn1,3: MODERATE YARD WORK min/wk M-Su,NUMERIC,,Exam1
946,q03ymcm1,3: MODERATE YARD WORK MET-min/wk M-Su,NUMERIC,,Exam1
947,q04yvcn1,4: VIGOROUS YARD WORK min/wk M-Su,NUMERIC,,Exam1
948,q04yvcm1,4: VIGOROUS YARD WORK MET-min/wk M-Su,NUMERIC,,Exam1
949,yrdmn1c,TOTAL YARD WORK min/wk M-Su,NUMERIC,,Exam1
950,yrdmt1c,TOTAL YARD WORK MET-min/wk M-Su,NUMERIC,,Exam1
951,q05olcn1,5: LIGHT CARE OTHERS min/wk M-Su,NUMERIC,,Exam1
952,q05olcm1,5: LIGHT CARE OTHERS MET-min/wk M-Su,NUMERIC,,Exam1
953,q06omcn1,6: MODERATE CARE OTHERS min/wk M-Su,NUMERIC,,Exam1
954,q06omcm1,6: MODERATE CARE OTHERS MET-min/wk M-Su,NUMERIC,,Exam1
955,caremn1c,TOTAL CARE OTHERS min/wk M-Su,NUMERIC,,Exam1
956,caremt1c,TOTAL CARE OTHERS MET-min/wk M-Su,NUMERIC,,Exam1
957,q07tlcn1,7: LIGHT TRANSPORTATION min/wk M-Su,NUMERIC,,Exam1
958,q07tlcm1,7: LIGHT TRANSPORTATION MET-min/wk M-Su,NUMERIC,,Exam1
959,trnmn1c,TOTAL TRANSPORTATION min/wk M-Su,NUMERIC,,Exam1
960,trnmt1c,TOTAL TRANSPORTATION MET-min/wk M-Su,NUMERIC,,Exam1
961,q08wmcn1,8: MODERATE WALKING min/wk M-Su,NUMERIC,,Exam1
962,q08wmcm1,8: MODERATE WALKING MET-min/wk M-Su,NUMERIC,,Exam1
963,q09wmcn1,9: MODERATE WALKING EXERCISE min/wk M-Su,NUMERIC,,Exam1
964,q09wmcm1,9: MODERATE WALKING EXERCISE MET-min/wk M-Su,NUMERIC,,Exam1
965,walkmn1c,TOTAL WALKING MIN//WK M-SU,NUMERIC,,Exam1
966,walkmt1c,TOTAL WALKING MET-min/wk M-Su,NUMERIC,,Exam1
967,q10smcn1,10: MODERATE DANCE min/wk M-Su,NUMERIC,,Exam1
968,q10smcm1,10: MODERATE DANCE MET-min/wk M-Su,NUMERIC,,Exam1
969,q11svcn1,11: VIGOROUS TEAM SPORTS min/wk M-Su,NUMERIC,,Exam1
970,q11svcm1,11: VIGOROUS TEAM SPORTS MET-min/wk M-Su,NUMERIC,,Exam1
971,q12svcn1,12: VIGOROUS DUAL SPORTS min/wk M-Su,NUMERIC,,Exam1
972,q12svcm1,12: VIGOROUS DUAL SPORTS MET-min/wk M-Su,NUMERIC,,Exam1
973,q13smcn1,13: MODERATE INDIVIDUAL ACTIVITIES min/wk M-Su,NUMERIC,,Exam1
974,q13smcm1,13: MODERATE INDIVIDUAL ACTIVITIES MET-min/wk M-Su,NUMERIC,,Exam1
975,sptnmn1c,TOTAL DANCE/SPORT min/wk M-Su,NUMERIC,,Exam1
976,sptnmt1c,TOTAL DANCE/SPORT MET-min/wk M-Su,NUMERIC,,Exam1
977,q14cmcn1,14: MODERATE CONDITIONING min/wk M-Su,NUMERIC,,Exam1
978,q14cmcm1,14: MODERATE CONDITIONING MET-min/wk M-Su,NUMERIC,,Exam1
979,q15cvcn1,15: VIGOROUS CONDITIONING min/wk M-Su,NUMERIC,,Exam1
980,q15cvcm1,15: VIGOROUS CONDITIONING MET-min/wk M-Su,NUMERIC,,Exam1
981,condmn1c,TOTAL CONDITIONING min/wk M-Su,NUMERIC,,Exam1
982,condmt1c,TOTAL CONDITIONING MET-min/wk M-Su,NUMERIC,,Exam1
983,q16ilcn1,16: LIGHT LEISURE TV min/wk M-Su,NUMERIC,,Exam1
984,q16ilcm1,16: LIGHT LEISURE TV MET-min/wk M-Su,NUMERIC,,Exam1
985,q17ilcn1,17: LIGHT LEISURE READ min/wk M-Su,NUMERIC,,Exam1
986,q17ilcm1,17: LIGHT LEISURE READ MET-min/wk M-Su,NUMERIC,,Exam1
987,leismn1c,TOTAL LEISURE min/wk M-Su,NUMERIC,,Exam1
988,leismt1c,TOTAL LEISURE MET-min/wk M-Su,NUMERIC,,Exam1
989,q18jyn1,WORK TO EARN MONEY?,NUMERIC,,Exam1
990,q19wcn1,19: TOTAL WORK (Q19) min/wk M-Su,NUMERIC,,Exam1
991,q20jlcn1,20: LIGHT WORK SITTING min/wk M-Su,NUMERIC,,Exam1
992,q20jlcm1,20: LIGHT WORK SITTING MET-min/wk M-Su,NUMERIC,,Exam1
993,q21jlcn1,21: LIGHT WORK STANDING min/wk M-Su,NUMERIC,,Exam1
994,q21jlcm1,21: LIGHT WORK STANDING MET-min/wk M-Su,NUMERIC,,Exam1
995,q22jmcn1,22: MODERATE WORK min/wk M-Su,NUMERIC,,Exam1
996,q22jmcm1,22: MODERATE WORK MET-min/wk M-Su,NUMERIC,,Exam1
997,q23jvcn1,23: VIGOROUS WORK min/wk M-Su,NUMERIC,,Exam1
998,q23jvcm1,23: VIGOROUS WORK MET-min/wk M-Su,NUMERIC,,Exam1
999,occmn1c,TOTAL WORK MIN M-SU/WK,NUMERIC,,Exam1
1000,occmt1c,TOTAL WORK MET-min/wk M-Su,NUMERIC,,Exam1
1001,q24uyn1,24: WORK AS A VOLUNTEER?,NUMERIC,,Exam1
1002,q25ulcn1,25: LIGHT VOLUNTEER min/wk M-Su,NUMERIC,,Exam1
1003,q25ulcm1,25: LIGHT VOLUNTEER MET-min/wk M-Su,NUMERIC,,Exam1
1004,q26umcn1,26: MODERATE VOLUNTEER min/wk M-Su,NUMERIC,,Exam1
1005,q26umcm1,26: MODERATE VOLUNTEER MET-min/wk M-Su,NUMERIC,,Exam1
1006,q27uvcn1,27: VIGOROUS VOLUNTEER min/wk M-Su,NUMERIC,,Exam1
1007,q27uvcm1,27: VIGOROUS VOLUNTEER MET-min/wk M-Su,NUMERIC,,Exam1
1008,volmn1c,TOTAL VOLUNTEER min/wk M-Su,NUMERIC,,Exam1
1009,volmt1c,TOTAL VOLUNTEER MET-min/wk M-Su,NUMERIC,,Exam1
1010,wlkpace1,WALKING PACE OUTSIDE HOME,NUMERIC,0=NO WALKING AT ALL; 1=CASUAL STROLLING (<2 MPH); 2=AVERAGE OR NORMAL (2-3 MPH); 3=FAIRLY BRISKLY (4-5 MPH); 4=BRISK OR STRIDING (>5 MPH),Exam1
1011,pahrdy1c,REPORTED TOTAL PA HOURS PER DAY,NUMERIC,,Exam1
1012,wkhrwk1c,REPORTED TOTAL WORK HOURS PER WEEK,NUMERIC,,Exam1
